construction,trades_full,net_full,win_full,max_dd,trades_recent,net_recent,win_recent
tc15_tighter_volume_cap,12,0.09321276176164617,0.5833333333333334,-0.06284881222584135,5,0.07655792414979784,0.8
tc15_no_exhaust_close,3,0.07745830674710623,1.0,0.0,2,0.038797806747106346,1.0
tc15_no_exhaust_vol,2,0.0773209999999998,1.0,0.0,1,0.038660499999999924,1.0
tc15_no_extreme_volume,14,0.0584480556509164,0.5,-0.0826728398764221,6,0.06294671803906808,0.6666666666666666
tc15_60m_mom_strong,11,0.04779497732667621,0.5454545454545454,-0.06284881222584114,5,0.06980063971482775,0.8
tc15_mom_and_no_exhaust,1,0.038660499999999924,1.0,0.0,1,0.038660499999999924,1.0
tc15_mom_no_exhaust_vwap,1,0.038660499999999924,1.0,0.0,1,0.038660499999999924,1.0
tc15_quality_stack,11,0.034987516572465245,0.45454545454545453,-0.06284881222584135,4,0.018332678960616917,0.5
tc15_quality_stack_loose,11,0.034987516572465245,0.45454545454545453,-0.06284881222584135,4,0.018332678960616917,0.5
tc15_only,18,0.016635797829624245,0.4444444444444444,-0.09830718333810326,9,0.03817782723154122,0.5555555555555556
tc15_compressed,18,0.016635797829624245,0.4444444444444444,-0.09830718333810326,9,0.03817782723154122,0.5555555555555556
tc15_not_loose,18,0.016635797829624245,0.4444444444444444,-0.09830718333810326,9,0.03817782723154122,0.5555555555555556
tc15_60m_mom_up,15,0.013737346048151314,0.4666666666666667,-0.08593943641030193,9,0.03574300843630286,0.5555555555555556
tc15_not_extended,15,-0.006824741248826921,0.4,-0.09895668789385548,7,-0.006436211846909951,0.42857142857142855
tc15_not_far_from_vwap,14,-0.047426974786431673,0.35714285714285715,-0.09895668789385548,7,-0.008377945384514822,0.42857142857142855
